Comunidad;Year;Festejos
Andalucia;2010;414
Aragon;2010;87
Asturias(Principado de Asturias);2010;7
Ballears (Illes);2010;6
Cantabria;2010;18
Castilla y Leon;2010;470
Castilla la Mancha;2010;575
Cataluna;2010;18
Comunitat Valenciana;2010;93
Extremadura;2010;150
Galicia;2010;10
Madrid (Comunidad de);2010;380
Murcia (Region de);2010;61
Navarra (Comunidad Foral de);2010;52
Pais Vasco;2010;46
Rioja (la);2010;32
Andalucia;2011;389
Aragon;2011;74
Asturias (Principado de Asturias);2011;7
Ballears (Illes);2011;6
Cantabria;2011;15
Castilla y Leon;2011;460
Castilla la Mancha;2011;555
Cataluna;2011;17
Comunitat Valenciana;2011;81
Extremadura;2011;148
Galicia;2011;9
Madrid (Comunidad de);2011;349
Murcia (Region de);2011;59
Navarra (Comunidad Foral de);2011;50
Pais Vasco;2011;41
Rioja (la);2011;28
Andalucia;2012;365
Aragon;2012;62
Asturias (Principado de Asturias);2012;7
Ballears (Illes);2012;3
Cantabria;2012;15
Castilla y Leon;2012;418
Castilla la Mancha;2012;441
Cataluna;2012;0
Comunitat Valenciana;2012;79
Extremadura;2012;145
Galicia;2012;10
Madrid (Comunidad de);2012;278
Murcia (Region de);2012;51
Navarra (Comunidad Foral de);2012;48
Pais Vasco;2012;40
Rioja (la);2012;33
Andalucia;2013;343
Aragon;2013;54
Asturias (Principado de Asturias);2013;7
Ballears (Illes);2013;6
Cantabria;2013;12
Castilla y Leon;2013;390
Castilla la Mancha;2013;422
Cataluna;2013;0
Comunitat Valenciana;2013;66
Extremadura;2013;124
Galicia;2013;10
Madrid (Comunidad de);2013;279
Murcia (Region de);2013;35
Navarra (Comunidad Foral de);2013;47
Pais Vasco;2013;29
Rioja (la);2013;32
Andalucia;2014;305
Aragon;2014;48
Asturias (Principado de Asturias);2014;7
Ballears (Illes);2014;5
Cantabria;2014;12
Castilla y Leon;2014;417
Castilla la Mancha;2014;422
Cataluna;2014;0
Comunitat Valenciana;2014;64
Extremadura;2014;116
Galicia;2014;8
Madrid (Comunidad de);2014;305
Murcia (Region de);2014;44
Navarra (Comunidad Foral de);2014;48
Pais Vasco;2014;32
Rioja (la);2014;33
Andalucia;2015;290
Aragon;2015;49
Asturias (Principado de Asturias);2015;7
Ballears (Illes);2015;4
Cantabria;2015;13
Castilla y Leon;2015;394
Castilla la Mancha;2015;398
Cataluna;2015;0
Comunitat Valenciana;2015;46
Extremadura;2015;111
Galicia;2015;5
Madrid (Comunidad de);2015;277
Murcia (Region de);2015;37
Navarra (Comunidad Foral de);2015;45
Pais Vasco;2015;31
Rioja (la);2015;28
Andalucia;2016;260
Aragon;2016;48
Asturias (Principado de Asturias);2016;6
Ballears (Illes);2016;7
Cantabria;2016;13
Castilla y Leon;2016;359
Castilla la Mancha;2016;363
Cataluna;2016;0
Comunitat Valenciana;2016;50
Extremadura;2016;104
Galicia;2016;3
Madrid (Comunidad de);2016;251
Murcia (Region de);2016;35
Navarra (Comunidad Foral de);2016;40
Pais Vasco;2016;32
Rioja (la);2016;26
